dataset,alpha,seed,rho,target_fnr,defer_budget,defer_rule,gate,human_accuracy,n_banks,n_banks_with_fraud,n_banks_audited,n_banks_fallback_threshold,n_banks_split_ok,defer_frac,miss_rate_audit,miss_rate_policy,coverage_valid_frac,expected_cost,expected_cost_per_txn,aurc,auto_clear_at_recall80,fpr_at_recall80,achieved_recall80,defer_jain,fpr_gap
ulb,0.1,42,20.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04131334445329773,0.11538461538461539,0.09615384615384616,0.3333333333333333,1428.0,0.03342305441778818,0.06494047760181183,0.9986190754827384,0.00046868043024863497,0.75,0.9348312999968301,0.07637496750889623
ulb,0.1,42,50.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04131334445329773,0.11538461538461539,0.09615384615384616,0.3333333333333333,1578.0,0.036933879461673494,0.06578789870422022,0.9986190754827384,0.00046868043024863497,0.75,0.9348312999968301,0.07637496750889623
ulb,0.5,0,1.0,0.1,0.05,band,brier,1.0,4,4,4,3,2,0.04594657086545523,0.19230769230769232,0.15384615384615385,0.0,896.75,0.02098888238736103,0.03227454718076223,0.9990637799882972,2.343402151243175e-05,0.75,0.9975600738107131,0.032387072126077006
ulb,0.5,0,2.0,0.1,0.05,band,brier,1.0,4,4,4,3,2,0.04594657086545523,0.19230769230769232,0.15384615384615385,0.0,904.75,0.02117612638970158,0.0323410668039403,0.9990637799882972,2.343402151243175e-05,0.75,0.9975600738107131,0.032387072126077006
ulb,0.5,0,5.0,0.1,0.05,band,brier,1.0,4,4,4,3,2,0.04594657086545523,0.19230769230769232,0.15384615384615385,0.0,928.75,0.02173785839672323,0.0325406256734745,0.9990637799882972,2.343402151243175e-05,0.75,0.9975600738107131,0.032387072126077006
ulb,0.5,0,10.0,0.1,0.05,band,brier,1.0,4,4,4,3,2,0.04594657086545523,0.19230769230769232,0.15384615384615385,0.0,968.75,0.02267407840842598,0.03287322378936483,0.9990637799882972,2.343402151243175e-05,0.75,0.9975600738107131,0.032387072126077006
ulb,0.5,0,20.0,0.1,0.05,band,brier,1.0,4,4,4,3,2,0.04594657086545523,0.19230769230769232,0.15384615384615385,0.0,1048.75,0.02454651843183148,0.03353842002114551,0.9990637799882972,2.343402151243175e-05,0.75,0.9975600738107131,0.032387072126077006
ulb,0.5,0,50.0,0.1,0.05,band,brier,1.0,4,4,4,3,2,0.04594657086545523,0.19230769230769232,0.15384615384615385,0.0,1288.75,0.03016383850204798,0.03553400871648752,0.9990637799882972,2.343402151243175e-05,0.75,0.9975600738107131,0.032387072126077006
ulb,0.5,1,1.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.03797202078059981,0.057692307692307696,0.038461538461538464,0.6666666666666666,4217.0,0.09870099473376244,0.06702898031775799,0.9984084259801054,0.0006327185808356572,0.7884615384615384,0.7470324191084854,0.34605983705979854
ulb,0.5,1,2.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.03797202078059981,0.057692307692307696,0.038461538461538464,0.6666666666666666,4219.0,0.09874780573434758,0.06703843274350241,0.9984084259801054,0.0006327185808356572,0.7884615384615384,0.7470324191084854,0.34605983705979854
ulb,0.5,1,5.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.03797202078059981,0.057692307692307696,0.038461538461538464,0.6666666666666666,4225.0,0.09888823873610299,0.06706679002073566,0.9984084259801054,0.0006327185808356572,0.7884615384615384,0.7470324191084854,0.34605983705979854
ulb,0.5,1,10.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.03797202078059981,0.057692307692307696,0.038461538461538464,0.6666666666666666,4235.0,0.09912229373902867,0.06711405214945776,0.9984084259801054,0.0006327185808356572,0.7884615384615384,0.7470324191084854,0.34605983705979854
ulb,0.5,1,20.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.03797202078059981,0.057692307692307696,0.038461538461538464,0.6666666666666666,4255.0,0.09959040374488004,0.06720857640690193,0.9984084259801054,0.0006327185808356572,0.7884615384615384,0.7470324191084854,0.34605983705979854
ulb,0.5,1,50.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.03797202078059981,0.057692307692307696,0.038461538461538464,0.6666666666666666,4315.0,0.10099473376243417,0.06749214917923448,0.9984084259801054,0.0006327185808356572,0.7884615384615384,0.7470324191084854,0.34605983705979854
ulb,0.5,2,1.0,0.1,0.05,band,brier,1.0,4,3,4,3,3,0.04695044824332592,0.22641509433962265,0.11320754716981132,0.3333333333333333,509.5,0.011925381518584402,0.00035434134545951564,0.9991105701713323,0.0,0.7169811320754716,0.9963235903888766,9.377344336084021e-05
ulb,0.5,2,2.0,0.1,0.05,band,brier,1.0,4,3,4,3,3,0.04695044824332592,0.22641509433962265,0.11320754716981132,0.3333333333333333,515.5,0.012065817807321412,0.00038320596895285053,0.9991105701713323,0.0,0.7169811320754716,0.9963235903888766,9.377344336084021e-05
ulb,0.5,2,5.0,0.1,0.05,band,brier,1.0,4,3,4,3,3,0.04695044824332592,0.22641509433962265,0.11320754716981132,0.3333333333333333,533.5,0.012487126673532441,0.00046979983943285517,0.9991105701713323,0.0,0.7169811320754716,0.9963235903888766,9.377344336084021e-05
ulb,0.5,2,10.0,0.1,0.05,band,brier,1.0,4,3,4,3,3,0.04678652650790856,0.22641509433962265,0.11320754716981132,0.3333333333333333,567.75,0.013288783821739538,0.0015778469372528478,0.9991105701713323,0.0,0.7169811320754716,0.9959808558805455,0.00046886721680420104
ulb,0.5,2,20.0,0.1,0.05,band,brier,1.0,4,3,4,3,3,0.04657583612434261,0.22641509433962265,0.11320754716981132,0.3333333333333333,638.5,0.01494476172643011,0.0037335142380756497,0.9991105701713323,0.0,0.7169811320754716,0.9955058537350154,0.0007501875468867217
ulb,0.5,2,50.0,0.1,0.05,band,brier,1.0,4,3,4,3,3,0.04620381658244203,0.22641509433962265,0.11320754716981132,0.3333333333333333,855.5,0.02002387416908529,0.009758453702095042,0.9991105701713323,0.0,0.7169811320754716,0.9969106585976242,0.0036517639101694144
ulb,0.5,3,1.0,0.1,0.05,band,brier,1.0,4,2,4,3,2,0.0443388585180598,0.23076923076923078,0.11538461538461539,0.0,487.75,0.01141603276770041,0.0013545620659379848,0.9989935634874195,9.3736086049727e-05,0.75,0.9779805534289686,0.0007493443237167478
ulb,0.5,3,2.0,0.1,0.05,band,brier,1.0,4,2,4,3,2,0.0443388585180598,0.23076923076923078,0.11538461538461539,0.0,493.75,0.011556465769455822,0.0014165433624064206,0.9989935634874195,9.3736086049727e-05,0.75,0.9779805534289686,0.0007493443237167478
ulb,0.5,3,5.0,0.1,0.05,band,brier,1.0,4,2,4,3,2,0.0443388585180598,0.23076923076923078,0.11538461538461539,0.0,511.75,0.01197776477472206,0.0016024872518117274,0.9989935634874195,9.3736086049727e-05,0.75,0.9779805534289686,0.0007493443237167478
ulb,0.5,3,10.0,0.1,0.05,band,brier,1.0,4,2,4,3,2,0.0441754587852274,0.23076923076923078,0.11538461538461539,0.0,546.0,0.01277940315974254,0.0028587440053034555,0.9989935634874195,9.3736086049727e-05,0.75,0.9787713627184097,0.0011240164855751218
ulb,0.5,3,20.0,0.1,0.05,band,brier,1.0,4,2,4,3,2,0.04403538450196257,0.23076923076923078,0.11538461538461539,0.0,609.5,0.014265652428320655,0.00425110049499231,0.9989935634874195,9.3736086049727e-05,0.75,0.9796075598239818,0.001405020606968902
ulb,0.5,3,50.0,0.1,0.05,band,brier,1.0,4,2,4,3,2,0.04412812677164064,0.23076923076923078,0.11538461538461539,0.0,817.5,0.019133996489174958,0.009816748809592317,0.9989935634874195,9.3736086049727e-05,0.75,0.9783109278314649,0.003278381416260772
ulb,0.5,42,1.0,0.1,0.05,band,brier,1.0,4,4,4,3,3,0.02118360315915102,0.038461538461538464,0.038461538461538464,0.75,10233.25,0.23950873004727802,0.3996678085716305,0.99908720685297,4.6866944743872144e-05,0.7115384615384616,0.5092847487486323,0.5443284818237806
ulb,0.5,42,2.0,0.1,0.05,band,brier,1.0,4,4,4,3,3,0.02118360315915102,0.038461538461538464,0.038461538461538464,0.75,10235.25,0.2395555399522539,0.3996818400091984,0.99908720685297,4.6866944743872144e-05,0.7115384615384616,0.5092847487486323,0.5443284818237806
