strategy,round,bank,auprc,alpha
fedprox,10,PaySim-Bank3,1.0,0.1
fedprox,10,PaySim-Bank4,0.8766274005675827,0.1
fedprox,11,PaySim-Bank0,0.854572573164146,0.1
fedprox,11,PaySim-Bank1,0.9069052505518004,0.1
fedprox,11,PaySim-Bank2,1.0,0.1
fedprox,11,PaySim-Bank3,1.0,0.1
fedprox,11,PaySim-Bank4,0.8783887712971471,0.1
fedprox,12,PaySim-Bank0,0.8658531250937965,0.1
fedprox,12,PaySim-Bank1,0.8825601624998984,0.1
fedprox,12,PaySim-Bank2,1.0,0.1
fedprox,12,PaySim-Bank3,1.0,0.1
fedprox,12,PaySim-Bank4,0.8905478101060161,0.1
fedprox,13,PaySim-Bank0,0.8161832813345072,0.1
fedprox,13,PaySim-Bank1,0.8906926268725985,0.1
fedprox,13,PaySim-Bank2,1.0,0.1
fedprox,13,PaySim-Bank3,1.0,0.1
fedprox,13,PaySim-Bank4,0.8486029317227561,0.1
fedprox,14,PaySim-Bank0,0.8069945272448636,0.1
fedprox,14,PaySim-Bank1,0.896149874059445,0.1
fedprox,14,PaySim-Bank2,1.0,0.1
fedprox,14,PaySim-Bank3,1.0,0.1
fedprox,14,PaySim-Bank4,0.8420919574866609,0.1
fedprox,15,PaySim-Bank0,0.8384401347778863,0.1
fedprox,15,PaySim-Bank1,0.8907223689355125,0.1
fedprox,15,PaySim-Bank2,1.0,0.1
fedprox,15,PaySim-Bank3,1.0,0.1
fedprox,15,PaySim-Bank4,0.865912594542973,0.1
fedprox,16,PaySim-Bank0,0.76047846762217,0.1
fedprox,16,PaySim-Bank1,0.8948958814472409,0.1
fedprox,16,PaySim-Bank2,1.0,0.1
fedprox,16,PaySim-Bank3,1.0,0.1
fedprox,16,PaySim-Bank4,0.8050941757437368,0.1
fedprox,17,PaySim-Bank0,0.807235342923747,0.1
fedprox,17,PaySim-Bank1,0.8970500331498477,0.1
fedprox,17,PaySim-Bank2,1.0,0.1
fedprox,17,PaySim-Bank3,1.0,0.1
fedprox,17,PaySim-Bank4,0.845037238733999,0.1
fedprox,18,PaySim-Bank0,0.8563698708426751,0.1
fedprox,18,PaySim-Bank1,0.8815306466174915,0.1
fedprox,18,PaySim-Bank2,1.0,0.1
fedprox,18,PaySim-Bank3,1.0,0.1
fedprox,18,PaySim-Bank4,0.8801071591168526,0.1
fedprox,19,PaySim-Bank0,0.8084540170892381,0.1
fedprox,19,PaySim-Bank1,0.8903796208467913,0.1
fedprox,19,PaySim-Bank2,1.0,0.1
fedprox,19,PaySim-Bank3,0.5,0.1
fedprox,19,PaySim-Bank4,0.8480353097952703,0.1
fedprox,20,PaySim-Bank0,0.845142507185576,0.1
fedprox,20,PaySim-Bank1,0.9026570714997446,0.1
fedprox,20,PaySim-Bank2,1.0,0.1
fedprox,20,PaySim-Bank3,1.0,0.1
fedprox,20,PaySim-Bank4,0.8719526787231898,0.1
fednova,1,PaySim-Bank0,0.8240686278093506,0.1
fednova,1,PaySim-Bank1,0.8906817642572387,0.1
fednova,1,PaySim-Bank2,1.0,0.1
fednova,1,PaySim-Bank3,1.0,0.1
fednova,1,PaySim-Bank4,0.8561876552295486,0.1
fednova,2,PaySim-Bank0,0.8269409655784904,0.1
fednova,2,PaySim-Bank1,0.8954730264564408,0.1
fednova,2,PaySim-Bank2,1.0,0.1
fednova,2,PaySim-Bank3,1.0,0.1
fednova,2,PaySim-Bank4,0.8596013727723733,0.1
fednova,3,PaySim-Bank0,0.8293547518291874,0.1
fednova,3,PaySim-Bank1,0.8714032728957586,0.1
fednova,3,PaySim-Bank2,1.0,0.1
fednova,3,PaySim-Bank3,1.0,0.1
fednova,3,PaySim-Bank4,0.859767693113125,0.1
fednova,4,PaySim-Bank0,0.8163672718497672,0.1
fednova,4,PaySim-Bank1,0.8856865669177123,0.1
fednova,4,PaySim-Bank2,1.0,0.1
fednova,4,PaySim-Bank3,1.0,0.1
fednova,4,PaySim-Bank4,0.8570198966164966,0.1
fednova,5,PaySim-Bank0,0.8403913272780434,0.1
fednova,5,PaySim-Bank1,0.891505812020282,0.1
fednova,5,PaySim-Bank2,1.0,0.1
fednova,5,PaySim-Bank3,1.0,0.1
fednova,5,PaySim-Bank4,0.8633708660008826,0.1
fednova,6,PaySim-Bank0,0.8236772709297591,0.1
fednova,6,PaySim-Bank1,0.9114301230420792,0.1
fednova,6,PaySim-Bank2,1.0,0.1
fednova,6,PaySim-Bank3,1.0,0.1
fednova,6,PaySim-Bank4,0.8473177392374814,0.1
fednova,7,PaySim-Bank0,0.7965651155088602,0.1
fednova,7,PaySim-Bank1,0.8654809557442936,0.1
fednova,7,PaySim-Bank2,1.0,0.1
fednova,7,PaySim-Bank3,1.0,0.1
fednova,7,PaySim-Bank4,0.8266859012711973,0.1
fednova,8,PaySim-Bank0,0.844087493336067,0.1
fednova,8,PaySim-Bank1,0.8724399625294372,0.1
fednova,8,PaySim-Bank2,1.0,0.1
fednova,8,PaySim-Bank3,1.0,0.1
fednova,8,PaySim-Bank4,0.8785667321046837,0.1
fednova,9,PaySim-Bank0,0.866183877798662,0.1
fednova,9,PaySim-Bank1,0.8860569283967793,0.1
fednova,9,PaySim-Bank2,1.0,0.1
fednova,9,PaySim-Bank3,1.0,0.1
fednova,9,PaySim-Bank4,0.8851890445090801,0.1
fednova,10,PaySim-Bank0,0.8254865750742246,0.1
fednova,10,PaySim-Bank1,0.8661885887162566,0.1
fednova,10,PaySim-Bank2,1.0,0.1
fednova,10,PaySim-Bank3,1.0,0.1
fednova,10,PaySim-Bank4,0.8624684448654996,0.1
fednova,11,PaySim-Bank0,0.8321558459217803,0.1
fednova,11,PaySim-Bank1,0.9110054092881746,0.1
fednova,11,PaySim-Bank2,1.0,0.1
fednova,11,PaySim-Bank3,1.0,0.1
fednova,11,PaySim-Bank4,0.8659118447270361,0.1
fednova,12,PaySim-Bank0,0.831642473801746,0.1
fednova,12,PaySim-Bank1,0.9047669301957743,0.1
fednova,12,PaySim-Bank2,1.0,0.1
fednova,12,PaySim-Bank3,1.0,0.1
fednova,12,PaySim-Bank4,0.8609582967140301,0.1
fednova,13,PaySim-Bank0,0.8620639313565315,0.1
fednova,13,PaySim-Bank1,0.8949373751131761,0.1
fednova,13,PaySim-Bank2,1.0,0.1
fednova,13,PaySim-Bank3,1.0,0.1
fednova,13,PaySim-Bank4,0.8893306765811153,0.1
fednova,14,PaySim-Bank0,0.8259298101879864,0.1
fednova,14,PaySim-Bank1,0.8997922627791141,0.1
fednova,14,PaySim-Bank2,1.0,0.1
fednova,14,PaySim-Bank3,1.0,0.1
fednova,14,PaySim-Bank4,0.8520804598238748,0.1
fednova,15,PaySim-Bank0,0.858157319560251,0.1
fednova,15,PaySim-Bank1,0.910294562698397,0.1
fednova,15,PaySim-Bank2,1.0,0.1
fednova,15,PaySim-Bank3,1.0,0.1
fednova,15,PaySim-Bank4,0.8812456202977869,0.1
fednova,16,PaySim-Bank0,0.8704050457383313,0.1
fednova,16,PaySim-Bank1,0.9120318100251351,0.1
fednova,16,PaySim-Bank2,1.0,0.1
fednova,16,PaySim-Bank3,1.0,0.1
fednova,16,PaySim-Bank4,0.8921341681440816,0.1
fednova,17,PaySim-Bank0,0.8426890766546137,0.1
fednova,17,PaySim-Bank1,0.9112913221538617,0.1
fednova,17,PaySim-Bank2,1.0,0.1
fednova,17,PaySim-Bank3,1.0,0.1
fednova,17,PaySim-Bank4,0.8744302846155703,0.1
fednova,18,PaySim-Bank0,0.8231014024759423,0.1
